,text
87,"Проект превращает мой  район в непригодный для проживания! Это будет местом транзита или рабочей вахты! Но, никак не очагом человеческой жизни!  НЕТ ПРОЕКТУ КАТЕГОРИЧЕСКИ!!!"
88,"Я подписываюсь против этого проекта, потому что вижу уничтожение моего дома по улице Радужная: по проекту его закроют в кольцо высотными домами, практически ликвидируют двор и лишат возможности передвижения из-за уплотнения населенности. Данный проект - преступление против жителей района"
89,"Сначала сделайте соц.обхекты, потом уплотняйте!"
90,"Я подписываю потому, что наш район очень зелёный и здесь хочется жить и постить детей. Мало осталось уютных зелёных районов. Итак рядом хорду строят, ухудшая экологию. Бетон вокруг уже надоел, хочется возвращаться с работы в УЮТНЫЙ И ЗЕЛЕНЫЙ РАЙОН!"
91,"Я подписываюсь под этой петицией, потому что боюсь за экологическую обстановку в нашем районе. Она может резко поменяться в худшую сторону."
92,"Категорически против увеличения плотности застройки и населения, против расширения дорог, вырубки деревьев, отсутствия новых поликлиник, школ, детских садов, парковок - они не предусмотрены планом застройки!!!! Где дети будут учиться? Где будут стоять автомобили, если сносятся парковки и уже на первом этапе строительства 300 автомобилей с существующих парковок на Нансена, 8 и Нансена, 6/3 выйдут на улицы района! Это ли не ухудшение условий проживания жителей района? На каком основании моя жизнь должна ухудшиться?"
93,"Я против такой плотной застройки. Новые дома строят, а бесплатные сады, школы и поликлиники нет! "
94,"Хочу жить,как и жили раньше,в зеленом чистом районе,а не среди кучи огромных небоскребов в кишащем муравейнике."
95,Елена Леунова
96,Я люблю свой район<br />
97,Потому что бесконечные застройки Москвы уже превратили город в ад
98,"Недопустимо уничтожать удобный для жизни район в угоду чьим-либо частным интересам. Тем более, что эти проекты нарушают сразу несколько статей Конституции РФ, поскольку приведут к нарушению закреплённых в ней прав граждан - на неприкосновенность собственности, на благоприятную среду и других.<br />Оставьте наш район в покое!"
99,"Подписываю петицию,так как живу в Свиблово.Против дороги вдоль Яузы.Дорога вдоль Яузы испортит экологию,которой все мы дорожим.И так школы и сады переполнены.Знаю,потому что у меня 2 детей.Надо строить дополнительно школы,сады, поликлинику."
100,Хочу жить в зеленом и комфортном районе!!!
